"","file_id","Total_CO2_capture","year","Solution","temp","shifts","group"
"103",2,0.221315028,0.0333640918315576,1,5,150,1
"104",2,0.44267564,0.0667278665651953,1,5,150,1
"105",2,0.63643756,0.100091958396753,1,5,150,1
"106",2,0.80448148,0.133455733130391,1,5,150,1
"107",2,0.94883052,0.166819824961948,1,5,150,1
"108",2,1.07224898,0.200183916793506,1,5,150,1
"109",2,1.174987,0.233547691527144,1,5,150,1
"110",2,1.2601292,0.266911783358701,1,5,150,1
"111",2,1.32985974,0.300275558092339,1,5,150,1
"112",2,1.38615774,0.333640918315576,1,5,150,1
"113",2,1.4315631,0.367002790461695,1,5,150,1
"114",2,1.4679236,0.400367833587012,1,5,150,1
"115",2,1.49731054,0.433732876712329,1,5,150,1
"116",2,1.52187464,0.467094748858447,1,5,150,1
"117",2,1.54311432,0.500459791983765,1,5,150,1
"118",2,1.56252558,0.533824835109082,1,5,150,1
"119",2,1.58105222,0.5671867072552,1,5,150,1
"120",2,1.59938064,0.600551750380518,1,5,150,1
"121",2,1.61757244,0.633916793505835,1,5,150,1
"122",2,1.63569582,0.667278665651953,1,5,150,1
"123",2,1.65366256,0.70064370877727,1,5,150,1
"124",2,1.67153888,0.734008751902588,1,5,150,1
"125",2,1.68930058,0.767370624048706,1,5,150,1
"126",2,1.70697186,0.800735667174023,1,5,150,1
"127",2,1.72455294,0.83410071029934,1,5,150,1
"128",2,1.7419974,0.867462582445459,1,5,150,1
"129",2,1.75933164,0.900827625570776,1,5,150,1
"130",2,1.77655126,0.934189497716895,1,5,150,1
"131",2,1.79390046,0.967554540842212,1,5,150,1
"132",2,1.81089304,1.00091958396753,1,5,150,1
"133",2,1.82751162,1.03428145611365,1,5,150,1
"134",2,1.84401778,1.06764649923896,1,5,150,1
"135",2,1.86038732,1.10101154236428,1,5,150,1
"136",2,1.87666864,1.1343734145104,1,5,150,1
"137",2,1.89283556,1.16773845763572,1,5,150,1
"138",2,1.90898026,1.20110350076104,1,5,150,1
"139",2,1.92492256,1.23446537290715,1,5,150,1
"140",2,1.94082064,1.26783041603247,1,5,150,1
"141",2,1.9565821,1.30119545915779,1,5,150,1
"142",2,1.97225556,1.33455733130391,1,5,150,1
"143",2,1.98816882,1.36792237442922,1,5,150,1
"144",2,2.00401366,1.40128741755454,1,5,150,1
"145",2,2.0197243,1.43464928970066,1,5,150,1
"146",2,2.03534452,1.46801433282598,1,5,150,1
"147",2,2.05087454,1.50137937595129,1,5,150,1
"148",2,2.06631656,1.53474124809741,1,5,150,1
"149",2,2.08166816,1.56810629122273,1,5,150,1
"150",2,2.09693176,1.60147133434805,1,5,150,1
"151",2,2.11208096,1.63483320649417,1,5,150,1
"152",2,2.12718616,1.66819824961948,1,5,150,1
"153",2,2.14220336,1.7015632927448,1,5,150,1
"154",2,2.15708636,1.73492516489092,1,5,150,1
"155",2,2.17190116,1.76829020801624,1,5,150,1
"156",2,2.18664996,1.80165525114155,1,5,150,1
"157",2,2.20130856,1.83501712328767,1,5,150,1
"158",2,2.21583516,1.86838216641299,1,5,150,1
"159",2,2.23031556,1.90174720953831,1,5,150,1
"160",2,2.24470796,1.93510908168442,1,5,150,1
"161",2,2.25901016,1.96847412480974,1,5,150,1
"162",2,2.27324636,2.00183916793506,1,5,150,1
"163",2,2.28719656,2.03520104008118,1,5,150,1
"164",2,2.30094898,2.06856608320649,1,5,150,1
"165",2,2.3146332,2.10193112633181,1,5,150,1
"166",2,2.32820742,2.13529299847793,1,5,150,1
"167",2,2.34169386,2.16865804160325,1,5,150,1
"168",2,2.3551121,2.20202308472856,1,5,150,1
"169",2,2.36846676,2.23538495687468,1,5,150,1
"170",2,2.38175322,2.26875,1,5,150,1
"171",2,2.3949519,2.30211504312532,1,5,150,1
"172",2,2.40806478,2.33547691527144,1,5,150,1
"173",2,2.42139568,2.36884195839675,1,5,150,1
"174",2,2.4347268,2.40220700152207,1,5,150,1
"175",2,2.44794792,2.43556887366819,1,5,150,1
"176",2,2.46108346,2.46893391679351,1,5,150,1
"177",2,2.47432702,2.50229895991882,1,5,150,1
"178",2,2.487287,2.53566083206494,1,5,150,1
"179",2,2.500201,2.56902587519026,1,5,150,1
"180",2,2.51309542,2.60239091831558,1,5,150,1
"181",2,2.52588226,2.63575279046169,1,5,150,1
"182",2,2.53855712,2.66911783358701,1,5,150,1
"183",2,2.5512124,2.70247970573313,1,5,150,1
"184",2,2.5638679,2.73584474885845,1,5,150,1
"185",2,2.57634982,2.76920979198376,1,5,150,1
"186",2,2.58878796,2.80257166412988,1,5,150,1
"187",2,2.60116032,2.8359367072552,1,5,150,1
"188",2,2.6134691,2.86930175038052,1,5,150,1
"189",2,2.62571452,2.90266362252664,1,5,150,1
"190",2,2.63787216,2.93602866565195,1,5,150,1
"191",2,2.65000802,2.96939370877727,1,5,150,1
"192",2,2.66219272,3.00275558092339,1,5,150,1
"193",2,2.67398164,3.03612062404871,1,5,150,1
"194",2,2.685595,3.06948566717402,1,5,150,1
"195",2,2.6971692,3.10284753932014,1,5,150,1
"196",2,2.70867762,3.13621258244546,1,5,150,1
"197",2,2.72010068,3.16957762557078,1,5,150,1
"198",2,2.73154816,3.20294266869609,1,5,150,1
"199",2,2.74291028,3.23630136986301,1,5,150,1
"200",2,2.75416504,3.26966007102993,1,5,150,1
"201",2,2.76539824,3.30301877219685,1,5,150,1
"202",2,2.77654828,3.33640918315576,1,5,150,1
"203",2,2.78794296,3.36976788432268,1,5,150,1
"204",2,2.79936008,3.4031265854896,1,5,150,1
"205",2,2.81067182,3.43648528665652,1,5,150,1
"206",2,2.8219422,3.46984398782344,1,5,150,1
"207",2,2.83332742,3.50320268899036,1,5,150,1
"208",2,2.8446253,3.53659309994926,1,5,150,1
"209",2,2.85573002,3.56995180111618,1,5,150,1
"210",2,2.86679338,3.6033105022831,1,5,150,1
"211",2,2.87781538,3.63666920345003,1,5,150,1
"212",2,2.88877402,3.67002790461695,1,5,150,1
"213",2,2.8997155,3.70338660578387,1,5,150,1
"214",2,2.91068382,3.73677701674277,1,5,150,1
"215",2,2.921501,3.77013571790969,1,5,150,1
"216",2,2.93225482,3.80349441907661,1,5,150,1
"217",2,2.94299148,3.83685312024353,1,5,150,1
"218",2,2.9536452,3.87021182141045,1,5,150,1
"219",2,2.96432378,3.90357052257737,1,5,150,1
"220",2,2.97491964,3.93696093353628,1,5,150,1
"221",2,2.98542376,3.9703196347032,1,5,150,1
"222",2,2.99592436,4.00367833587012,1,5,150,1
"223",2,3.00620584,4.03703703703704,1,5,150,1
"224",2,3.0162682,4.07039573820396,1,5,150,1
"225",2,3.02630944,4.10375443937088,1,5,150,1
"226",2,3.03635134,4.13714485032978,1,5,150,1
"227",2,3.04637212,4.1705035514967,1,5,150,1
"228",2,3.05626178,4.20386225266362,1,5,150,1
"229",2,3.06610832,4.23722095383054,1,5,150,1
"230",2,3.07599974,4.27057965499746,1,5,150,1
"231",2,3.08580404,4.30393835616438,1,5,150,1
"232",2,3.09554322,4.33732876712329,1,5,150,1
"233",2,3.10556928,4.37068746829021,1,5,150,1
"234",2,3.11559622,4.40404616945713,1,5,150,1
"235",2,3.12553604,4.43740487062405,1,5,150,1
"236",2,3.13547674,4.47076357179097,1,5,150,1
"237",2,3.14537432,4.50412227295789,1,5,150,1
"238",2,3.15518478,4.53751268391679,1,5,150,1
"239",2,3.16501812,4.57087138508371,1,5,150,1
"240",2,3.17478656,4.60423008625063,1,5,150,1
"241",2,3.18448988,4.63758878741755,1,5,150,1
"242",2,3.19415008,4.67094748858448,1,5,150,1
"243",2,3.20376716,4.7043061897514,1,5,150,1
"244",2,3.21338512,4.7376966007103,1,5,150,1
"245",2,3.22293818,4.77105530187722,1,5,150,1
"246",2,3.23242612,4.80441400304414,1,5,150,1
"247",2,3.24191494,4.83777270421106,1,5,150,1
"248",2,3.25142686,4.87113140537798,1,5,150,1
"249",2,3.26085166,4.9044901065449,1,5,150,1
"250",2,3.27018934,4.9378805175038,1,5,150,1
"251",2,3.27959412,4.97123921867073,1,5,150,1
"252",2,3.28891178,5.00459791983765,1,5,150,1
"253",3,0.00255354,0,1,5,200,1
"254",3,0.161779002,0.0250229895991882,1,5,200,1
"255",3,0.33619674,0.0500459791983765,1,5,200,1
"256",3,0.49457188,0.0750688102486048,1,5,200,1
"257",3,0.6376689,0.100091958396753,1,5,200,1
"258",3,0.76628178,0.125114789446981,1,5,200,1
"259",3,0.88162602,0.150137937595129,1,5,200,1
"260",3,0.98368468,0.175160768645358,1,5,200,1
"261",3,1.07378326,0.200183916793506,1,5,200,1
"262",3,1.1528297,0.225206747843734,1,5,200,1
"263",3,1.22166968,0.250229895991882,1,5,200,1
