"","Total_CO2_capture","year","file_id","group"
"122",1.63569582,0.667278665651953,2,"6"
"123",1.65366256,0.70064370877727,2,"6"
"124",1.67153888,0.734008751902588,2,"6"
"125",1.68930058,0.767370624048706,2,"6"
"126",1.70697186,0.800735667174023,2,"6"
"127",1.72455294,0.83410071029934,2,"6"
"128",1.7419974,0.867462582445459,2,"6"
"129",1.75933164,0.900827625570776,2,"6"
"130",1.77655126,0.934189497716895,2,"6"
"131",1.79390046,0.967554540842212,2,"6"
"132",1.81089304,1.00091958396753,2,"6"
"133",1.82751162,1.03428145611365,2,"6"
"134",1.84401778,1.06764649923896,2,"6"
"135",1.86038732,1.10101154236428,2,"6"
"136",1.87666864,1.1343734145104,2,"6"
"137",1.89283556,1.16773845763572,2,"6"
"138",1.90898026,1.20110350076104,2,"6"
"139",1.92492256,1.23446537290715,2,"6"
"140",1.94082064,1.26783041603247,2,"6"
"141",1.9565821,1.30119545915779,2,"6"
"142",1.97225556,1.33455733130391,2,"6"
"143",1.98816882,1.36792237442922,2,"6"
"144",2.00401366,1.40128741755454,2,"6"
"145",2.0197243,1.43464928970066,2,"6"
"146",2.03534452,1.46801433282598,2,"6"
"147",2.05087454,1.50137937595129,2,"6"
"148",2.06631656,1.53474124809741,2,"6"
"149",2.08166816,1.56810629122273,2,"6"
"150",2.09693176,1.60147133434805,2,"6"
"151",2.11208096,1.63483320649417,2,"6"
"152",2.12718616,1.66819824961948,2,"6"
"153",2.14220336,1.7015632927448,2,"6"
"154",2.15708636,1.73492516489092,2,"6"
"155",2.17190116,1.76829020801624,2,"6"
"156",2.18664996,1.80165525114155,2,"6"
"157",2.20130856,1.83501712328767,2,"6"
"158",2.21583516,1.86838216641299,2,"6"
"159",2.23031556,1.90174720953831,2,"6"
"160",2.24470796,1.93510908168442,2,"6"
"161",2.25901016,1.96847412480974,2,"6"
"162",2.27324636,2.00183916793506,2,"6"
"163",2.28719656,2.03520104008118,2,"6"
"164",2.30094898,2.06856608320649,2,"6"
"165",2.3146332,2.10193112633181,2,"6"
"166",2.32820742,2.13529299847793,2,"6"
"167",2.34169386,2.16865804160325,2,"6"
"168",2.3551121,2.20202308472856,2,"6"
"169",2.36846676,2.23538495687468,2,"6"
"170",2.38175322,2.26875,2,"6"
"171",2.3949519,2.30211504312532,2,"6"
"172",2.40806478,2.33547691527144,2,"6"
"173",2.42139568,2.36884195839675,2,"6"
"174",2.4347268,2.40220700152207,2,"6"
"175",2.44794792,2.43556887366819,2,"6"
"176",2.46108346,2.46893391679351,2,"6"
"177",2.47432702,2.50229895991882,2,"6"
"178",2.487287,2.53566083206494,2,"6"
"179",2.500201,2.56902587519026,2,"6"
"180",2.51309542,2.60239091831558,2,"6"
"181",2.52588226,2.63575279046169,2,"6"
"182",2.53855712,2.66911783358701,2,"6"
"183",2.5512124,2.70247970573313,2,"6"
"184",2.5638679,2.73584474885845,2,"6"
"185",2.57634982,2.76920979198376,2,"6"
"186",2.58878796,2.80257166412988,2,"6"
"187",2.60116032,2.8359367072552,2,"6"
"188",2.6134691,2.86930175038052,2,"6"
"189",2.62571452,2.90266362252664,2,"6"
"190",2.63787216,2.93602866565195,2,"6"
"191",2.65000802,2.96939370877727,2,"6"
"192",2.66219272,3.00275558092339,2,"6"
"193",2.67398164,3.03612062404871,2,"6"
"194",2.685595,3.06948566717402,2,"6"
"195",2.6971692,3.10284753932014,2,"6"
